"filename", "language", "JavaScript React", "JavaScript", "HTML", "CSS", "XML", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\maste\Solaris_Esports_eV\frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 38, 0, 33, 71
"c:\Users\maste\Solaris_Esports_eV\frontend\index.html", "HTML", 0, 0, 21, 0, 0, 0, 0, 10, 1, 32
"c:\Users\maste\Solaris_Esports_eV\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 30971, 0, 0, 1, 30972
"c:\Users\maste\Solaris_Esports_eV\frontend\package.json", "JSON", 0, 0, 0, 0, 0, 49, 0, 0, 1, 50
"c:\Users\maste\Solaris_Esports_eV\frontend\public\index.html", "HTML", 0, 0, 20, 0, 0, 0, 0, 10, 1, 31
"c:\Users\maste\Solaris_Esports_eV\frontend\src\App.jsx", "JavaScript React", 75, 0, 0, 0, 0, 0, 0, 0, 12, 87
"c:\Users\maste\Solaris_Esports_eV\frontend\src\assets\svg\Logo.svg", "XML", 0, 0, 0, 0, 15, 0, 0, 0, 1, 16
"c:\Users\maste\Solaris_Esports_eV\frontend\src\components\common\footer\Footer.jsx", "JavaScript React", 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\maste\Solaris_Esports_eV\frontend\src\components\common\guides\Guides.jsx", "JavaScript React", 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\maste\Solaris_Esports_eV\frontend\src\components\common\guides\guides.css", "CSS", 0, 0, 0, 36, 0, 0, 0, 0, 0, 36
"c:\Users\maste\Solaris_Esports_eV\frontend\src\components\common\header\SiteHeader.jsx", "JavaScript React", 78, 0, 0, 0, 0, 0, 0, 0, 6, 84
"c:\Users\maste\Solaris_Esports_eV\frontend\src\components\common\header\SiteHeaderConfig.jsx", "JavaScript React", 410, 0, 0, 0, 0, 0, 0, 0, 2, 412
"c:\Users\maste\Solaris_Esports_eV\frontend\src\components\common\header\SiteHeaderMenu.jsx", "JavaScript React", 53, 0, 0, 0, 0, 0, 0, 13, 1, 67
