"filename", "language", "JavaScript React", "CSS", "JavaScript", "Markdown", "HTML", "JSON", "XML", "comment", "blank", "total"
"c:\Users\maste\Solaris_Esports_eV\.VSCodeCounter\2022-12-07_17-36-50\details.md", "Markdown", 0, 0, 0, 52, 0, 0, 0, 0, 6, 58
"c:\Users\maste\Solaris_Esports_eV\.VSCodeCounter\2022-12-07_17-36-50\diff-details.md", "Markdown", 0, 0, 0, 9, 0, 0, 0, 0, 6, 15
"c:\Users\maste\Solaris_Esports_eV\.VSCodeCounter\2022-12-07_17-36-50\diff.md", "Markdown", 0, 0, 0, 12, 0, 0, 0, 0, 7, 19
"c:\Users\maste\Solaris_Esports_eV\.VSCodeCounter\2022-12-07_17-36-50\results.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\maste\Solaris_Esports_eV\.VSCodeCounter\2022-12-07_17-36-50\results.md", "Markdown", 0, 0, 0, 43, 0, 0, 0, 0, 7, 50
"c:\Users\maste\Solaris_Esports_eV\frontend\README.md", "Markdown", 0, 0, 0, 38, 0, 0, 0, 0, 33, 71
"c:\Users\maste\Solaris_Esports_eV\frontend\index.html", "HTML", 0, 0, 0, 0, 22, 0, 0, 0, 1, 23
"c:\Users\maste\Solaris_Esports_eV\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 31355, 0, 0, 1, 31356
"c:\Users\maste\Solaris_Esports_eV\frontend\package.json", "JSON", 0, 0, 0, 0, 0, 50, 0, 0, 1, 51
"c:\Users\maste\Solaris_Esports_eV\frontend\public\index.html", "HTML", 0, 0, 0, 0, 20, 0, 0, 10, 1, 31
"c:\Users\maste\Solaris_Esports_eV\frontend\src\App.jsx", "JavaScript React", 77, 0, 0, 0, 0, 0, 0, 4, 13, 94
"c:\Users\maste\Solaris_Esports_eV\frontend\src\assets\svg\Logo.svg", "XML", 0, 0, 0, 0, 0, 0, 15, 0, 1, 16
"c:\Users\maste\Solaris_Esports_eV\frontend\src\components\common\arrow\HoverArrow.jsx", "JavaScript React", 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\maste\Solaris_Esports_eV\frontend\src\components\common\footer\Footer.jsx", "JavaScript React", 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\maste\Solaris_Esports_eV\frontend\src\components\common\guides\Guides.jsx", "JavaScript React", 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\maste\Solaris_Esports_eV\frontend\src\components\common\guides\guides.css", "CSS", 0, 36, 0, 0, 0, 0, 0, 0, 0, 36
"c:\Users\maste\Solaris_Esports_eV\frontend\src\components\common\header\SiteHeader.jsx", "JavaScript React", 110, 0, 0, 0, 0, 0, 0, 0, 7, 117
"c:\Users\maste\Solaris_Esports_eV\frontend\src\components\common\header\SiteHeaderConfig.jsx", "JavaScript React", 392, 0, 0, 0, 0, 0, 0, 0, 56, 448
"c:\Users\maste\Solaris_Esports_eV\frontend\src\components\common\header\SiteHeaderMenu.jsx", "JavaScript React", 53, 0, 0, 0, 0, 0, 0, 13, 1, 67
"c:\Users\maste\Solaris_Esports_eV\frontend\src\components\common\header\SiteHeaderMenuContainer.jsx", "JavaScript React", 41, 0, 0, 0, 0, 0, 0, 0, 1, 42
