Date : 2022-12-08 18:00:51
Directory : c:\Users\maste\Solaris_Esports_eV
Total : 54 files,  33740 codes, 130 comments, 237 blanks, all 34107 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JSON             |          3 |     31,406 |          0 |          2 |     31,408 |
| JavaScript React |         27 |      1,346 |         82 |        147 |      1,575 |
| CSS              |         15 |        772 |         38 |         25 |        835 |
| Markdown         |          5 |        154 |          0 |         59 |        213 |
| HTML             |          2 |         42 |         10 |          2 |         54 |
| XML              |          1 |         15 |          0 |          1 |         16 |
| JavaScript       |          1 |          5 |          0 |          1 |          6 |
+------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                     | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                        |         54 |     33,740 |        130 |        237 |     34,107 |
| .VSCodeCounter                                                                                           |          5 |        117 |          0 |         26 |        143 |
| .VSCodeCounter\2022-12-07_17-36-50                                                                       |          5 |        117 |          0 |         26 |        143 |
| frontend                                                                                                 |         49 |     33,623 |        130 |        211 |     33,964 |
| frontend\public                                                                                          |          1 |         20 |         10 |          1 |         31 |
| frontend\src                                                                                             |         43 |      2,133 |        120 |        173 |      2,426 |
| frontend\src\assets                                                                                      |          1 |         15 |          0 |          1 |         16 |
| frontend\src\assets\svg                                                                                  |          1 |         15 |          0 |          1 |         16 |
| frontend\src\components                                                                                  |         26 |      1,543 |         16 |         94 |      1,653 |
| frontend\src\components\common                                                                           |         21 |      1,408 |         15 |         83 |      1,506 |
| frontend\src\components\common\arrow                                                                     |          1 |         11 |          0 |          2 |         13 |
| frontend\src\components\common\footer                                                                    |          1 |          8 |          0 |          2 |         10 |
| frontend\src\components\common\guides                                                                    |          2 |         50 |          0 |          3 |         53 |
| frontend\src\components\common\header                                                                    |         17 |      1,339 |         15 |         76 |      1,430 |
| frontend\src\components\common\header\style                                                              |          7 |        497 |          2 |          0 |        499 |
| frontend\src\components\handlers                                                                         |          1 |         16 |          0 |          4 |         20 |
| frontend\src\components\templates                                                                        |          4 |        119 |          1 |          7 |        127 |
| frontend\src\components\templates\content                                                                |          2 |         31 |          0 |          2 |         33 |
| frontend\src\components\templates\section                                                                |          2 |         88 |          1 |          5 |         94 |
| frontend\src\context                                                                                     |          2 |         25 |          5 |          8 |         38 |
| frontend\src\hooks                                                                                       |          2 |         47 |         23 |         11 |         81 |
| frontend\src\pages                                                                                       |          1 |         25 |          0 |          2 |         27 |
| frontend\src\pages\home                                                                                  |          1 |         25 |          0 |          2 |         27 |
| frontend\src\scripts                                                                                     |          1 |        166 |         37 |         15 |        218 |
| frontend\src\styles                                                                                      |          5 |        181 |         35 |         23 |        239 |
